record_id,redcap_repeat_instrument,redcap_repeat_instance,gel_phos_data_url,gel_phos_expt_date,gel_phos_mybpc_s282_rel,gel_phos_spec_number,gel_phos_region
E39DD,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,1.07102340973696,105169.1,15
839EE,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.766057785118298,51851.2,14
31331,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.509395035195693,52617.8,15
4B3FA,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.560797452643219,52854.1,15
BC90C,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.852522115111933,53080.2,13
78952,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.702910924607137,53130.6,13
B54F0,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.71491654695584,54206.1,15
24713,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.694981757843835,54352.2,11
EC021,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.638161838702835,90601.1,15
02B37,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.467926941843457,50380.2,13
E5A4A,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.688004898576291,51911.2,15
B9727,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.52419027855851,103726.1,15
43149,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.537343440410346,51464.3,14
838CA,gel_phosphorylation,new,https://mynotebook.labarchives.com/ODc1MzE3LjN8NjczMzIxLzY3MzMyMS9Ob3RlYm9vay8xODUwMTQ0MDMyfDIyMjE5NTkuMw==/page/1609902-730,2025-11-20,0.879837003743499,51498.2,15
